국가명,기간,수입금액(천불),수입중량(톤),수출금액(천불),수출중량(톤),품목명
코트디부아르,2022,7757.0,45100.0,0.0,0.0,니켈
탄자니아,2022,0.0,0.0,0.0,0.0,니켈
필리핀,2022,12297.0,109943.0,0.0,0.0,니켈
호주,2022,0.0,0.0,0.0,0.0,니켈
네덜란드,2021,,,,,코발트
독일,2021,,,,,코발트
미국,2021,0.0,0.0,0.0,0.0,코발트
영국,2021,,,,,코발트
이집트,2021,,,,,코발트
잠비아,2021,0.0,0.0,0.0,0.0,코발트
콩고민주공화국,2021,,,,,코발트
프랑스,2021,0.0,0.0,0.0,0.0,코발트
네덜란드,2022,0.0,0.0,0.0,0.0,코발트
독일,2022,1.0,0.0,0.0,0.0,코발트
미국,2022,,,,,코발트
영국,2022,87.0,12.0,0.0,0.0,코발트
이집트,2022,0.0,0.0,0.0,0.0,코발트
잠비아,2022,,,,,코발트
콩고민주공화국,2022,0.0,0.0,0.0,0.0,코발트
프랑스,2022,7.0,0.0,0.0,0.0,코발트
남아프리카공화국,2021,99.0,180.0,0.0,0.0,크롬
네덜란드,2021,13.0,25.0,0.0,0.0,크롬
대만,2021,0.0,0.0,2.0,2.0,크롬
독일,2021,9.0,8.0,0.0,0.0,크롬
벨기에,2021,3.0,0.0,0.0,0.0,크롬
일본,2021,45.0,30.0,11.0,20.0,크롬
중국,2021,78.0,191.0,17.0,44.0,크롬
파키스탄,2021,585.0,1320.0,0.0,0.0,크롬
필리핀,2021,,,,,크롬
남아프리카공화국,2022,184.0,361.0,0.0,0.0,크롬
네덜란드,2022,,,,,크롬
대만,2022,,,,,크롬
독일,2022,,,,,크롬
벨기에,2022,4.0,0.0,0.0,0.0,크롬
일본,2022,37.0,29.0,0.0,0.0,크롬
중국,2022,0.0,0.0,0.0,0.0,크롬
파키스탄,2022,,,,,크롬
필리핀,2022,0.0,0.0,0.0,0.0,크롬
베트남,2021,,,,,탄탈륨
브라질,2021,,,,,탄탈륨
중국,2021,15.0,0.0,0.0,0.0,탄탈륨
케냐,2021,0.0,0.0,0.0,0.0,탄탈륨
베트남,2022,0.0,0.0,0.0,0.0,탄탈륨
브라질,2022,0.0,0.0,0.0,0.0,탄탈륨
중국,2022,54.0,0.0,0.0,0.0,탄탈륨
케냐,2022,,,,,탄탈륨
독일,2021,0.0,0.0,,,니오븀
미국,2021,,,0.0,0.0,니오븀
슬로베니아,2021,,,0.0,0.0,니오븀
중국,2021,0.0,0.0,0.0,0.0,니오븀
독일,2022,1.0,0.0,0.0,0.0,니오븀
미국,2022,,,,,니오븀
슬로베니아,2022,,,,,니오븀
중국,2022,23.0,0.0,0.0,0.0,니오븀
베트남,2021,0.0,0.0,5004.0,5742.0,바나듐
인도,2021,0.0,0.0,152.0,253.0,바나듐
캄보디아,2021,0.0,0.0,642.0,692.0,바나듐
캐나다,2021,,,,,바나듐
태국,2021,0.0,0.0,1089.0,1263.0,바나듐
베트남,2022,0.0,0.0,3187.0,2249.0,바나듐
인도,2022,0.0,0.0,17.0,60.0,바나듐
캄보디아,2022,0.0,0.0,130.0,126.0,바나듐
캐나다,2022,145.0,108.0,0.0,0.0,바나듐
태국,2022,0.0,0.0,1182.0,1031.0,바나듐
대만,2021,31.0,0.0,0.0,0.0,토상흑연
독일,2021,611.0,123.0,0.0,0.0,토상흑연
말레이시아,2021,,,,,토상흑연
